symbol,entry_time,side,entry_price,quantity,position_size_usdt,status,exit_time,exit_price,profit_loss,profit_loss_pct,duration_seconds,exit_reason
PARTIUSDT,2025-11-22 17:05:06.855371,BEARISH,0.07505,143.90406395736176,10.8,CLOSED,2025-11-22 17:36:12.985336,0.0751,-0.013499100599599672,-0.0012499167221851548,1866.129895,Market exit
SUIUSDT,2025-11-22 17:06:31.168862,BEARISH,1.3459,8.024370309829854,10.8,CLOSED,2025-11-22 17:33:09.596414,1.3397,0.019000786091092264,0.0017593320454715059,1598.427451,Market exit
UNIUSDT,2025-11-22 17:10:04.343937,BEARISH,6.203,1.7410930195066903,10.8,CLOSED,2025-11-22 17:35:20.724725,6.189,0.01358748992423062,0.0012581009189102424,1516.380724,Market exit
GIGGLEUSDT,2025-11-22 17:17:22.934203,BEARISH,99.18,0.1088929219600726,10.8,CLOSED,2025-11-22 17:26:22.675792,99.19,-0.008917105263157152,-0.0008256578947367733,539.74144,Market exit
WIFUSDT,2025-11-22 17:26:40.551340,BEARISH,0.3157,34.209692746278115,10.8,CLOSED,2025-11-22 17:33:09.981970,0.318,-0.08952163446309871,-0.008289040228064695,389.430569,Market exit
WLDUSDT,2025-11-22 17:33:41.412252,BEARISH,0.5884,18.354860639021073,10.8,CLOSED,2025-11-22 17:35:21.165744,0.592,-0.07691053704962494,-0.007121346023113421,99.753431,Market exit
0GUSDT,2025-11-22 17:33:42.238052,BULLISH,1.2036,8.97308075772682,10.8,CLOSED,2025-11-22 17:50:24.909637,1.213,0.035833583000997336,0.0033179243519441976,1002.6715,Market exit
KITEUSDT,2025-11-22 17:34:50.510555,BULLISH,0.10823,99.78748960546983,10.8,CLOSED,2025-11-22 17:49:21.142915,0.1081,-0.017824415596415424,-0.0016504088515199465,870.632293,Market exit
BOBUSDT,2025-11-22 17:35:34.744241,BEARISH,0.017864,604.5678459471562,10.8,OPEN,,,,,,
GPSUSDT,2025-11-22 17:35:48.308387,BEARISH,0.00601,1797.0049916805326,10.8,CLOSED,2025-11-22 18:30:03.066415,0.00583,0.15250103161397638,0.014120465890182997,3254.757945,Market exit
FETUSDT,2025-11-22 17:42:20.605720,BEARISH,0.2737,39.45926196565583,10.8,CLOSED,2025-11-22 18:06:26.080577,0.274,-0.016982773109244363,-0.0015724789915967004,1445.474782,Market exit
CRVUSDT,2025-11-22 17:45:50.179503,BEARISH,0.368,29.347826086956523,10.8,CLOSED,2025-11-22 17:48:30.240037,0.3706,-0.08714249999999975,-0.008068749999999977,160.060462,Market exit
XLMUSDT,2025-11-22 17:51:45.187634,BEARISH,0.22829,47.30824828069561,10.8,CLOSED,2025-11-22 17:52:49.163530,0.2291,-0.04913884094791737,-0.004549892680362719,63.97583,Market exit
FILUSDT,2025-11-22 17:53:01.248409,BEARISH,1.615,6.6873065015479884,10.8,CLOSED,2025-11-22 17:54:25.650517,1.622,-0.057634551083592125,-0.005336532507740011,84.402048,Market exit
2ZUSDT,2025-11-22 18:02:56.774856,BEARISH,0.13276,81.34980415787889,10.8,CLOSED,2025-11-22 18:06:26.243901,0.13379,-0.09463219343175683,-0.008762240132570076,209.468982,Market exit
GRASSUSDT,2025-11-22 18:04:14.441919,BULLISH,0.3908,27.635619242579327,10.8,OPEN,,,,,,
RECALLUSDT,2025-11-22 18:08:54.373420,BEARISH,0.1345,80.29739776951673,10.8,OPEN,,,,,,
ZENUSDT,2025-11-22 18:15:14.339059,BULLISH,12.616,0.8560558021559924,10.8,CLOSED,2025-11-22 18:18:36.338309,12.522,-0.09122901077996146,-0.008447130627774208,201.99922,Market exit
HBARUSDT,2025-11-22 18:17:01.376821,BEARISH,0.12816,84.26966292134833,10.8,CLOSED,2025-11-22 18:45:19.847741,0.12721,0.033781901334269934,0.0031279538272472158,1698.470859,Market exit
ONDOUSDT,2025-11-22 18:18:35.334618,BEARISH,0.4569,23.63755745239659,10.8,CLOSED,2025-11-22 18:56:28.593040,0.4558,0.007416978003939477,0.0006867572225869885,2273.258353,Market exit
ARBUSDT,2025-11-22 18:33:10.891390,BEARISH,0.1973,54.73897617840852,10.8,CLOSED,2025-11-22 18:55:04.429035,0.1973,-0.008100000000000001,-0.0007500000000000001,1313.537588,Market exit
ADAUSDT,2025-11-22 18:39:55.189714,BEARISH,0.3988,27.081243731193585,10.8,CLOSED,2025-11-22 19:02:34.577733,0.3988,-0.008100000000000001,-0.0007500000000000001,1359.387949,Market exit
TRUMPUSDT,2025-11-22 18:45:16.246137,BEARISH,6.254,1.7268947873361051,10.8,CLOSED,2025-11-22 18:59:53.640891,6.271,-0.040171889990406745,-0.00371961944355618,877.39471,Market exit
ASTERUSDT,2025-11-22 18:49:45.007437,BEARISH,1.1766,9.178990311065782,10.8,CLOSED,2025-11-22 19:06:38.563523,1.184,-0.07875849056603636,-0.007292452830188552,1013.55583,Market exit
OPUSDT,2025-11-22 18:56:42.850350,BEARISH,0.299,36.12040133779264,10.8,CLOSED,2025-11-22 19:02:52.048888,0.3002,-0.054166153846155085,-0.0050153846153847305,369.19847,Market exit
